Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
25645, -0.5687255859375, 0.1055908203125, 0.30810546875, -75.8056640625, 6.958007335662842, 17.822265625, 8.0, 16.0, 6.0 
25661, -0.511474609375, 0.129638671875, 0.3079833984375, -37.4755859375, -9.27734375, 28.320310592651367, 8.0, 16.0, 6.0 
25681, -0.480224609375, 0.144287109375, 0.2645263671875, -23.010251998901367, -29.357908248901367, 42.236324310302734, 8.0, 16.0, 6.0 
25699, -0.5079345703125, 0.1153564453125, 0.23974609375, -23.010251998901367, -39.6728515625, 50.476070404052734, 8.0, 18.0, 6.0 
25718, -0.541015625, 0.1944580078125, 0.31201171875, -21.789548873901367, -72.509765625, 79.04052734375, 8.0, 18.0, 6.0 
25733, -0.5535888671875, 0.2208251953125, 0.375732421875, -16.05224609375, -84.28954315185547, 88.56200408935547, 8.0, 18.0, 6.0 
25751, -0.6661376953125, 0.2752685546875, 0.5819091796875, 2.0751953125, -103.63768768310547, 95.58104705810547, 8.0, 18.0, 6.0 
25769, -1.0115966796875, 0.3292236328125, 0.7196044921875, 17.822265625, -104.55321502685547, 74.27978515625, 8.0, 18.0, 6.0 
25786, -1.4266357421875, 0.28955078125, 0.6590576171875, 12.390135765075684, -94.66551971435547, 56.762691497802734, 7.0, 17.0, 0.0 
25806, -1.477783203125, 0.30517578125, 0.5516357421875, -33.0810546875, -52.612300872802734, 19.6533203125, 7.0, 17.0, 0.0 
25824, -1.184326171875, 0.338623046875, 0.2928466796875, -79.77294921875, -7.080077648162842, -8.1787109375, 7.0, 17.0, 0.0 
25842, -1.10888671875, 0.108154296875, 0.2987060546875, -126.40380096435547, -8.6669921875, -12.268065452575684, 7.0, 17.0, 0.0 
25862, -1.2681884765625, -0.0242919921875, 0.2601318359375, -96.06932830810547, -5.126952648162842, 2.563476324081421, 7.0, 17.0, 0.0 
25880, -1.7633056640625, 0.1549072265625, 0.0819091796875, -57.373043060302734, 38.63525390625, 1.4038084745407104, 7.0, 17.0, 0.0 
25900, -2.00927734375, 0.16650390625, 0.1278076171875, -62.377925872802734, 37.17041015625, -12.695311546325684, 9.0, 17.0, 0.0 
25915, -0.9910888671875, 0.01513671875, 0.1689453125, -54.504390716552734, 4.7607421875, -8.9111328125, 9.0, 17.0, 0.0 
25931, -0.41259765625, 0.0140380859375, 0.239501953125, -28.320310592651367, -24.414060592651367, 15.563963890075684, 9.0, 17.0, 0.0 
25951, -0.0252685546875, 0.1556396484375, -0.15234375, 73.3642578125, -5.126952648162842, 38.4521484375, 9.0, 17.0, 0.0 
25969, -0.504638671875, 0.15234375, -0.3675537109375, 120.48339080810547, -52.185054779052734, 41.687007904052734, 9.0, 17.0, 0.0 
25988, -1.187255859375, -0.177490234375, -0.11865234375, 65.185546875, -104.85839080810547, 29.296873092651367, 8.0, 17.0, -3.0 
26003, -1.27685546875, -0.544677734375, 0.0369873046875, 47.302242279052734, -91.06444549560547, 23.742673873901367, 8.0, 17.0, -3.0 
26019, -1.0960693359375, -0.5587158203125, -0.0050048828125, 91.12548065185547, -50.170894622802734, 40.954586029052734, 8.0, 17.0, -3.0 
26040, -0.777587890625, -0.22900390625, -0.062744140625, 110.83983612060547, -38.9404296875, 53.588863372802734, 8.0, 17.0, -3.0 
26059, -0.8515625, -0.1282958984375, 0.089111328125, 55.114742279052734, -34.7900390625, 34.11865234375, 8.0, 17.0, -3.0 
26078, -1.1011962890625, -0.3798828125, 0.083984375, 33.69140625, -64.8193359375, 43.762203216552734, 8.0, 17.0, -3.0 
26093, -1.043212890625, -0.251708984375, 0.06298828125, 24.841306686401367, -77.63671875, 55.969234466552734, 2.0, 19.0, -4.0 
26110, -0.896484375, -0.0650634765625, 0.080810546875, -11.779784202575684, -74.951171875, 52.917476654052734, 2.0, 19.0, -4.0 
26131, -0.920654296875, -0.064453125, 0.185546875, -38.87939453125, -51.330562591552734, 30.334470748901367, 2.0, 19.0, -4.0 
26150, -1.05078125, -0.22314453125, 0.220703125, -13.427733421325684, -43.151851654052734, 31.921384811401367, 2.0, 19.0, -4.0 
26170, -0.9920654296875, -0.1834716796875, 0.0687255859375, 10.253905296325684, -42.907711029052734, 35.5224609375, 2.0, 19.0, -4.0 
26185, -0.8873291015625, -0.0924072265625, -0.0706787109375, 10.253905296325684, -36.43798828125, 29.602048873901367, 2.0, 17.0, -5.0 
26206, -0.8709716796875, -0.093505859375, -0.09716796875, 9.8876953125, -24.536130905151367, 14.770506858825684, 2.0, 17.0, -5.0 
26223, -0.9346923828125, -0.17138671875, -0.0977783203125, 11.596678733825684, -29.907224655151367, 13.305663108825684, 2.0, 17.0, -5.0 
26240, -1.000244140625, -0.2196044921875, -0.0576171875, -1.5258787870407104, -42.480464935302734, 19.22607421875, 2.0, 17.0, -5.0 
26261, -1.017578125, -0.20751953125, -0.00439453125, -17.15087890625, -47.607418060302734, 21.484373092651367, 2.0, 17.0, -5.0 
26317, -0.9156494140625, -0.1326904296875, 0.082763671875, -25.634763717651367, -38.4521484375, 19.95849609375, 0.0, 20.0, -6.0 
26354, -0.9244384765625, -0.0616455078125, -0.02099609375, -1.8920897245407104, -42.297359466552734, 15.014647483825684, 0.0, 20.0, -6.0 
26378, -0.9283447265625, -0.0076904296875, -0.0274658203125, -8.7890625, -49.316402435302734, 8.85009765625, 0.0, 20.0, -6.0 
26395, -0.8909912109375, -0.040771484375, 0.058349609375, -10.070799827575684, -50.292964935302734, 4.21142578125, 1.0, 17.0, -12.0 
26418, -0.9088134765625, -0.1348876953125, 0.0706787109375, -6.225585460662842, -46.142574310302734, -1.5869139432907104, 1.0, 17.0, -12.0 
26435, -1.032470703125, -0.1826171875, -0.00390625, -3.967284917831421, -43.884273529052734, -3.662109136581421, 1.0, 17.0, -12.0 
26456, -1.120361328125, -0.2159423828125, -0.034912109375, -9.46044921875, -45.898433685302734, -1.0986328125, 1.0, 17.0, -12.0 
26513, -1.03173828125, -0.3033447265625, -0.0284423828125, 4.39453125, -13.732909202575684, -6.896972179412842, 1.0, 22.0, -10.0 
26784, -1.0667724609375, -0.354736328125, -0.3255615234375, -42.663570404052734, 113.95262908935547, -38.51318359375, 10.0, 13.0, 0.0 
26801, -1.0516357421875, -0.298583984375, -0.40478515625, -77.69775390625, 100.34178924560547, -38.6962890625, 10.0, 13.0, 0.0 
26821, -1.0616455078125, -0.0946044921875, -0.2396240234375, -168.82322692871094, 107.17772674560547, -60.974117279052734, 10.0, 13.0, 0.0 
26837, -1.239990234375, -0.193603515625, 0.123779296875, -226.86766052246094, 93.99413299560547, -52.368160247802734, 10.0, 13.0, 0.0 
26855, -1.233154296875, -0.0732421875, 0.3323974609375, -177.30711364746094, 107.84911346435547, -34.48486328125, 10.0, 13.0, 0.0 
26874, -0.9737548828125, 0.0750732421875, 0.1990966796875, -164.06248474121094, 131.53076171875, -26.611326217651367, 10.0, 13.0, 0.0 
26890, -0.8951416015625, 0.1317138671875, 0.1844482421875, -162.78074645996094, 136.77978515625, -24.963376998901367, 20.0, 6.0, -1.0 
